iteration,operation,algorithm,duration_ms,tracemalloc_peak_bytes,tracemalloc_current_bytes,payload_size_bytes,timestamp,environment,run_id
46,raw_rsa_sign,RSA-2048,89.1377090010792,742.0,52.0,256,2026-04-12T13:09:44.027270+00:00,arm64-darwin,3
47,raw_rsa_sign,RSA-2048,88.80829205736518,742.0,52.0,256,2026-04-12T13:09:44.027272+00:00,arm64-darwin,3
48,raw_rsa_sign,RSA-2048,88.20462506264448,742.0,52.0,256,2026-04-12T13:09:44.027274+00:00,arm64-darwin,3
49,raw_rsa_sign,RSA-2048,88.46183400601149,742.0,52.0,256,2026-04-12T13:09:44.027280+00:00,arm64-darwin,3
50,raw_rsa_sign,RSA-2048,87.81566692050546,742.0,52.0,256,2026-04-12T13:09:44.027283+00:00,arm64-darwin,3
51,raw_rsa_sign,RSA-2048,87.54037495236844,742.0,52.0,256,2026-04-12T13:09:44.027285+00:00,arm64-darwin,3
52,raw_rsa_sign,RSA-2048,87.56995794828981,742.0,52.0,256,2026-04-12T13:09:44.027287+00:00,arm64-darwin,3
53,raw_rsa_sign,RSA-2048,89.40383396111429,742.0,52.0,256,2026-04-12T13:09:44.027289+00:00,arm64-darwin,3
54,raw_rsa_sign,RSA-2048,88.73983297962695,742.0,52.0,256,2026-04-12T13:09:44.027291+00:00,arm64-darwin,3
55,raw_rsa_sign,RSA-2048,88.15266704186797,742.0,52.0,256,2026-04-12T13:09:44.027293+00:00,arm64-darwin,3
56,raw_rsa_sign,RSA-2048,87.80412503983825,742.0,52.0,256,2026-04-12T13:09:44.027295+00:00,arm64-darwin,3
57,raw_rsa_sign,RSA-2048,87.96966692898422,742.0,52.0,256,2026-04-12T13:09:44.027297+00:00,arm64-darwin,3
58,raw_rsa_sign,RSA-2048,87.67637494020164,742.0,52.0,256,2026-04-12T13:09:44.027299+00:00,arm64-darwin,3
59,raw_rsa_sign,RSA-2048,87.52508403267711,742.0,52.0,256,2026-04-12T13:09:44.027300+00:00,arm64-darwin,3
60,raw_rsa_sign,RSA-2048,87.87591697182506,742.0,52.0,256,2026-04-12T13:09:44.027302+00:00,arm64-darwin,3
61,raw_rsa_sign,RSA-2048,87.10545895155519,742.0,52.0,256,2026-04-12T13:09:44.027304+00:00,arm64-darwin,3
62,raw_rsa_sign,RSA-2048,87.17091602738947,742.0,52.0,256,2026-04-12T13:09:44.027306+00:00,arm64-darwin,3
63,raw_rsa_sign,RSA-2048,88.83029199205339,742.0,52.0,256,2026-04-12T13:09:44.027308+00:00,arm64-darwin,3
64,raw_rsa_sign,RSA-2048,89.0590000199154,742.0,52.0,256,2026-04-12T13:09:44.027310+00:00,arm64-darwin,3
65,raw_rsa_sign,RSA-2048,88.57249992433935,742.0,52.0,256,2026-04-12T13:09:44.027312+00:00,arm64-darwin,3
66,raw_rsa_sign,RSA-2048,87.611333001405,742.0,52.0,256,2026-04-12T13:09:44.027314+00:00,arm64-darwin,3
67,raw_rsa_sign,RSA-2048,87.60579093359411,742.0,52.0,256,2026-04-12T13:09:44.027316+00:00,arm64-darwin,3
68,raw_rsa_sign,RSA-2048,87.66729198396206,742.0,52.0,256,2026-04-12T13:09:44.027318+00:00,arm64-darwin,3
69,raw_rsa_sign,RSA-2048,87.72579208016396,742.0,52.0,256,2026-04-12T13:09:44.027320+00:00,arm64-darwin,3
70,raw_rsa_sign,RSA-2048,87.81004196498543,742.0,52.0,256,2026-04-12T13:09:44.027321+00:00,arm64-darwin,3
71,raw_rsa_sign,RSA-2048,87.83970796503127,742.0,52.0,256,2026-04-12T13:09:44.027323+00:00,arm64-darwin,3
72,raw_rsa_sign,RSA-2048,88.18062499631196,742.0,52.0,256,2026-04-12T13:09:44.027326+00:00,arm64-darwin,3
73,raw_rsa_sign,RSA-2048,90.18608299084008,742.0,52.0,256,2026-04-12T13:09:44.027327+00:00,arm64-darwin,3
74,raw_rsa_sign,RSA-2048,88.8041250873357,742.0,52.0,256,2026-04-12T13:09:44.027329+00:00,arm64-darwin,3
75,raw_rsa_sign,RSA-2048,88.13016698695719,742.0,52.0,256,2026-04-12T13:09:44.027331+00:00,arm64-darwin,3
76,raw_rsa_sign,RSA-2048,87.44316606316715,742.0,52.0,256,2026-04-12T13:09:44.027333+00:00,arm64-darwin,3
77,raw_rsa_sign,RSA-2048,88.0490840645507,742.0,52.0,256,2026-04-12T13:09:44.027336+00:00,arm64-darwin,3
78,raw_rsa_sign,RSA-2048,87.62379095423967,742.0,52.0,256,2026-04-12T13:09:44.027338+00:00,arm64-darwin,3
79,raw_rsa_sign,RSA-2048,88.43449992127717,742.0,52.0,256,2026-04-12T13:09:44.027340+00:00,arm64-darwin,3
80,raw_rsa_sign,RSA-2048,87.72433397825807,742.0,52.0,256,2026-04-12T13:09:44.027342+00:00,arm64-darwin,3
81,raw_rsa_sign,RSA-2048,87.99720893148333,742.0,52.0,256,2026-04-12T13:09:44.027344+00:00,arm64-darwin,3
82,raw_rsa_sign,RSA-2048,87.76562509592623,742.0,52.0,256,2026-04-12T13:09:44.027346+00:00,arm64-darwin,3
83,raw_rsa_sign,RSA-2048,88.87420909013599,742.0,52.0,256,2026-04-12T13:09:44.027348+00:00,arm64-darwin,3
84,raw_rsa_sign,RSA-2048,90.16454208176583,742.0,52.0,256,2026-04-12T13:09:44.027350+00:00,arm64-darwin,3
85,raw_rsa_sign,RSA-2048,88.10316701419652,742.0,52.0,256,2026-04-12T13:09:44.027352+00:00,arm64-darwin,3
86,raw_rsa_sign,RSA-2048,87.59420900605619,742.0,52.0,256,2026-04-12T13:09:44.027354+00:00,arm64-darwin,3
87,raw_rsa_sign,RSA-2048,87.93008397333324,742.0,52.0,256,2026-04-12T13:09:44.027356+00:00,arm64-darwin,3
88,raw_rsa_sign,RSA-2048,88.15179101657122,742.0,52.0,256,2026-04-12T13:09:44.027358+00:00,arm64-darwin,3
89,raw_rsa_sign,RSA-2048,87.76154089719057,742.0,52.0,256,2026-04-12T13:09:44.027359+00:00,arm64-darwin,3
90,raw_rsa_sign,RSA-2048,88.08524999767542,742.0,52.0,256,2026-04-12T13:09:44.027361+00:00,arm64-darwin,3
91,raw_rsa_sign,RSA-2048,87.58837508503348,742.0,52.0,256,2026-04-12T13:09:44.027363+00:00,arm64-darwin,3
92,raw_rsa_sign,RSA-2048,87.7673749346286,742.0,52.0,256,2026-04-12T13:09:44.027365+00:00,arm64-darwin,3
93,raw_rsa_sign,RSA-2048,87.45887503027916,742.0,52.0,256,2026-04-12T13:09:44.027367+00:00,arm64-darwin,3
94,raw_rsa_sign,RSA-2048,87.69795892294496,742.0,52.0,256,2026-04-12T13:09:44.027369+00:00,arm64-darwin,3
95,raw_rsa_sign,RSA-2048,90.07508400827646,742.0,52.0,256,2026-04-12T13:09:44.027371+00:00,arm64-darwin,3
96,raw_rsa_sign,RSA-2048,87.94395800214261,742.0,52.0,256,2026-04-12T13:09:44.027373+00:00,arm64-darwin,3
97,raw_rsa_sign,RSA-2048,87.6505000051111,742.0,52.0,256,2026-04-12T13:09:44.027375+00:00,arm64-darwin,3
98,raw_rsa_sign,RSA-2048,87.44233404286206,742.0,52.0,256,2026-04-12T13:09:44.027377+00:00,arm64-darwin,3
99,raw_rsa_sign,RSA-2048,87.64204103499651,742.0,52.0,256,2026-04-12T13:09:44.027379+00:00,arm64-darwin,3
0,raw_rsa_verify,RSA-2048,0.11766701936721802,517.0,52.0,256,2026-04-12T13:09:44.042151+00:00,arm64-darwin,3
1,raw_rsa_verify,RSA-2048,0.1128750154748559,517.0,52.0,256,2026-04-12T13:09:44.042168+00:00,arm64-darwin,3
2,raw_rsa_verify,RSA-2048,0.11162494774907827,517.0,52.0,256,2026-04-12T13:09:44.042172+00:00,arm64-darwin,3
